127.0.0.1 - - [27/May/2021:02:07:03 +0200] "GET /animal/?action=search&filter_search=&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1 HTTP/1.1" 200 218
127.0.0.1 - - [27/May/2021:02:13:08 +0200] "GET /member/ HTTP/1.1" 200 8053
127.0.0.1 - - [27/May/2021:02:13:09 +0200] "GET /member/?action=search&filter_search=&sEcho=1&iColumns=4&sColumns=%2C%2C%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1&mDataProp_2=2&mDataProp_3=3 HTTP/1.1" 200 840
127.0.0.1 - - [27/May/2021:02:15:38 +0200] "GET /member/details.php?id=5 HTTP/1.1" 200 7158
127.0.0.1 - - [27/May/2021:02:56:26 +0200] "GET /animal/ HTTP/1.1" 200 7951
127.0.0.1 - - [27/May/2021:02:56:26 +0200] "GET /animal/?action=search&filter_search=&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1 HTTP/1.1" 200 218
127.0.0.1 - - [27/May/2021:02:56:31 +0200] "GET /animal/details.php HTTP/1.1" 200 6065
127.0.0.1 - - [27/May/2021:02:56:36 +0200] "POST /animal/details.php HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2021:02:56:38 +0200] "GET /animal/ HTTP/1.1" 200 7951
127.0.0.1 - - [27/May/2021:02:56:39 +0200] "GET /animal/?action=search&filter_search=&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1 HTTP/1.1" 200 371
127.0.0.1 - - [27/May/2021:02:56:41 +0200] "GET /animal/details.php HTTP/1.1" 200 6065
127.0.0.1 - - [27/May/2021:02:56:50 +0200] "POST /animal/details.php HTTP/1.1" 200 6187
127.0.0.1 - - [27/May/2021:02:57:00 +0200] "POST /animal/details.php HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2021:02:57:02 +0200] "GET /animal/ HTTP/1.1" 200 7951
127.0.0.1 - - [27/May/2021:02:57:02 +0200] "GET /animal/?action=search&filter_search=&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1 HTTP/1.1" 200 529
127.0.0.1 - - [27/May/2021:02:57:06 +0200] "GET /animal/details.php?id=3 HTTP/1.1" 200 6137
127.0.0.1 - - [27/May/2021:02:57:12 +0200] "POST /animal/details.php?id=3 HTTP/1.1" 302 -
127.0.0.1 - - [27/May/2021:02:57:15 +0200] "GET /animal/ HTTP/1.1" 200 7951
127.0.0.1 - - [27/May/2021:02:57:16 +0200] "GET /animal/?action=search&filter_search=&sEcho=1&iColumns=2&sColumns=%2C&iDisplayStart=0&iDisplayLength=100&mDataProp_0=0&mDataProp_1=1 HTTP/1.1" 200 531
